xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,True,---,---,---
gga_c_am05,True,---,---,---
gga_c_apbe,True,---,---,---
gga_c_bmk,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,False,"[0.005100400040004001, 1.546223692369237]","[4.278557114228457, 5.0]","[0.0, 0.98989898989899]"
gga_c_cs1,False,"[0.0001, 5.0]","[1.533066132264529, 5.0]","[0.0, 1.0]"
gga_c_ft97,True,---,---,---
gga_c_gam,False,"[0.0001, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0011000800080008001, 0.1691135213521352]","[2.7454909819639277, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.007100560056005601, 0.167613401340134]","[0.6112224448897795, 5.0]","[0.020202020202020204, 1.0]"
gga_c_hcth_a,False,"[0.0001, 5.0]","[2.49498997995992, 5.0]","[0.0, 0.888888888888889]"
gga_c_hyb_tau_hcth,False,"[0.0001, 5.0]","[1.8336673346693386, 5.0]","[0.0, 0.9292929292929294]"
gga_c_lm,False,"[0.0001, 5.0]","[2.444889779559118, 5.0]","[0.0, 1.0]"
gga_c_lyp,False,"[4.869989598959895, 5.0]","[2.915831663326653, 5.0]","[0.0, 0.6262626262626263]"
gga_c_lypr,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 0.98989898989899]"
gga_c_mggac,True,---,---,---
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 5.0]","[0.9719438877755511, 5.0]","[0.0, 1.0]"
gga_c_op_b88,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_g96,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pbe,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pw91,False,"[0.33762700270027, 4.998999919991999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_optc,True,---,---,---
gga_c_op_xalpha,False,"[0.2716217221722172, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_p86,False,"[0.0001, 1.6447315731573158]","[3.7775551102204408, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.0001, 1.645231613161316]","[3.7775551102204408, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.0001, 1.6052284128412841]","[3.797595190380761, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.0001, 1.6052284128412841]","[3.797595190380761, 5.0]","[0.0, 1.0]"
gga_c_pbe,True,---,---,---
gga_c_pbefe,True,---,---,---
gga_c_pbeint,True,---,---,---
gga_c_pbe_jrgx,True,---,---,---
gga_c_pbeloc,True,---,---,---
gga_c_pbe_mol,True,---,---,---
gga_c_pbe_sol,True,---,---,---
gga_c_pbe_vwn,True,---,---,---
gga_c_pw91,True,---,---,---
gga_c_q2d,False,"[0.0141011201120112, 0.5231418441844184]","[3.4669338677354706, 5.0]","[0.0, 1.0]"
gga_c_regtpss,True,---,---,---
gga_c_revtca,False,"[4.526962156215621, 5.0]","[0.7314629258517034, 0.9318637274549098]","[0.9797979797979799, 1.0]"
gga_c_rge2,True,---,---,---
gga_c_scan_e0,True,---,---,---
gga_c_sg4,False,"[0.004100320032003201, 5.0]","[1.6733466933867736, 5.0]","[0.010101010101010102, 1.0]"
gga_c_sogga11,False,"[1.3417073307330734, 5.0]","[1.3727454909819639, 4.949899799599198]","[0.0, 1.0]"
gga_c_sogga11_x,False,"[0.7326586058605861, 5.0]","[2.064128256513026, 3.8977955911823647]","[0.0, 1.0]"
gga_c_spbe,True,---,---,---
gga_c_tau_hcth,False,"[0.0001, 5.0]","[1.9639278557114228, 5.0]","[0.0, 0.9292929292929294]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[3.6848947894789483, 5.0]","[1.723446893787575, 5.0]","[0.0, 0.98989898989899]"
gga_c_tm_pbe,True,---,---,---
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 0.1866149214921492]","[1.9338677354709417, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 0.46163692369236925]","[0.501002004008016, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[0.0001, 5.0]","[2.024048096192385, 5.0]","[0.0, 1.0]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,False,"[0.0256020402040204, 5.0]","[1.8436873747494988, 5.0]","[0.020202020202020204, 1.0]"
gga_c_zpbesol,False,"[0.03410272027202721, 5.0]","[1.783567134268537, 5.0]","[0.020202020202020204, 1.0]"
gga_c_zvpbeint,False,"[0.024601960196019602, 5.0]","[1.8236472945891782, 5.0]","[0.08080808080808081, 1.0]"
gga_c_zvpbeloc,False,"[0.0001, 5.0]","[0.0, 4.799599198396794]","[0.05050505050505051, 1.0]"
gga_c_zvpbesol,False,"[0.03310264026402641, 5.0]","[1.813627254509018, 5.0]","[0.08080808080808081, 1.0]"
