xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range 
mgga_c_b88,True,---,---,---,---,---
mgga_c_b94,False,"[0.0017671890630210072, 4.998332810936979]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_bc95,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_cs,False,"[0.0017671890630210072, 4.998332810936979]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_dldf,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_hltapw,False,"[2.870616703340668, 4.998999819963992]","[0.0, 0.0]","[0.0, 1.0]","[0.0, 0.0]",---
mgga_c_kcis,False,"[0.12412232446489298, 4.998999819963992]","[0.050505050505050504, 5.0]","[0.8421052631578947, 1.0]","[0.0, 5.0]",---
mgga_c_kcisk,False,"[0.12412232446489298, 4.998999819963992]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05_2x,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_2x,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_hf,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_l,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_sx,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m08_hx,False,"[0.0011001800360072014, 2.124482396479296]","[0.10101010101010101, 2.0707070707070705]","[0.0, 1.0]","[0.0, 4.242424242424242]",---
mgga_c_m08_so,False,"[0.0011001800360072014, 4.998999819963992]","[0.050505050505050504, 2.2727272727272725]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 2.474747474747475]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11_l,False,"[0.0011001800360072014, 4.998999819963992]","[0.20202020202020202, 3.282828282828283]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_l,False,"[0.0011001800360072014, 4.998999819963992]","[0.30303030303030304, 3.4343434343434343]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_sx,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 2.121212121212121]","[0.0, 1.0]","[0.0, 4.94949494949495]",---
mgga_c_mn15,False,"[0.0011001800360072014, 4.998999819963992]","[0.20202020202020202, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15_l,False,"[0.0011001800360072014, 4.998999819963992]","[0.10101010101010101, 3.9393939393939394]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_pkzb,False,"[0.0011001800360072014, 4.998999819963992]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_r2scan,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.9473684210526315, 1.0]","[0.0, 0.5050505050505051]",---
mgga_c_r2scanl,False,"[0.0017671890630210072, 4.998332810936979]","[0.7575757575757576, 5.0]","[0.9473684210526315, 1.0]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_revm06,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm06_l,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm11,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 1.8686868686868687]","[0.0, 1.0]","[0.0, 0.9595959595959596]",---
mgga_c_revscan,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revscan_vv10,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revtm,False,"[0.0011001800360072014, 4.998999819963992]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revtpss,False,"[0.0011001800360072014, 4.998999819963992]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_rscan,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_scan,False,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.9473684210526315, 1.0]","[0.0, 0.5050505050505051]",---
mgga_c_scanl,False,"[0.0017671890630210072, 4.998332810936979]","[0.7575757575757576, 5.0]","[0.9473684210526315, 1.0]","[0.0, 5.0]","[0.0, 5.0]"
