xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,True,---,---,---
gga_c_am05,True,---,---,---
gga_c_apbe,True,---,---,---
gga_c_bmk,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,True,---,---,---
gga_c_cs1,False,"[0.0001, 5.0]","[1.533066132264529, 5.0]","[0.0, 1.0]"
gga_c_ft97,True,---,---,---
gga_c_gam,False,"[0.0001, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0001, 0.1681302460492098]","[0.6913827655310621, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.003100540108021604, 0.17013060612122421]","[0.45090180360721444, 5.0]","[0.030303030303030304, 1.0]"
gga_c_hcth_a,False,"[0.0001, 5.0]","[2.1442885771543083, 5.0]","[0.0, 0.9494949494949496]"
gga_c_hyb_tau_hcth,False,"[0.0001, 5.0]","[1.5430861723446894, 5.0]","[0.0, 0.9595959595959597]"
gga_c_lm,True,---,---,---
gga_c_lyp,False,"[0.0001, 5.0]","[1.7434869739478958, 5.0]","[0.0, 0.98989898989899]"
gga_c_lypr,False,"[0.0001, 3.3837090618123624]","[1.753507014028056, 5.0]","[0.0, 0.98989898989899]"
gga_c_mggac,True,---,---,---
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 5.0]","[0.9318637274549098, 5.0]","[0.0, 1.0]"
gga_c_op_b88,True,---,---,---
gga_c_op_g96,True,---,---,---
gga_c_op_pbe,True,---,---,---
gga_c_op_pw91,True,---,---,---
gga_c_optc,False,"[0.0001, 0.0001]","[0.04008016032064128, 0.27054108216432865]","[0.0, 0.98989898989899]"
gga_c_op_xalpha,True,---,---,---
gga_c_p86,False,"[0.23314194838967792, 5.0]","[0.8917835671342685, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.2341421284256851, 5.0]","[0.8917835671342685, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.2251405081016203, 5.0]","[0.8817635270541082, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.2251405081016203, 5.0]","[0.8817635270541082, 5.0]","[0.0, 1.0]"
gga_c_pbe,True,---,---,---
gga_c_pbefe,True,---,---,---
gga_c_pbeint,True,---,---,---
gga_c_pbe_jrgx,True,---,---,---
gga_c_pbeloc,True,---,---,---
gga_c_pbe_mol,True,---,---,---
gga_c_pbe_sol,True,---,---,---
gga_c_pbe_vwn,True,---,---,---
gga_c_pw91,False,"[0.0001, 0.0001]","[0.04008016032064128, 0.280561122244489]","[0.0, 1.0]"
gga_c_q2d,True,---,---,---
gga_c_regtpss,True,---,---,---
gga_c_revtca,True,---,---,---
gga_c_rge2,True,---,---,---
gga_c_scan_e0,True,---,---,---
gga_c_sg4,True,---,---,---
gga_c_sogga11,True,---,---,---
gga_c_sogga11_x,True,---,---,---
gga_c_spbe,True,---,---,---
gga_c_tau_hcth,False,"[0.0001, 5.0]","[1.6132264529058116, 5.0]","[0.0, 0.9595959595959597]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[0.0001, 5.0]","[1.5831663326653307, 5.0]","[0.0, 0.98989898989899]"
gga_c_tm_pbe,True,---,---,---
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 5.0]","[1.9338677354709417, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 5.0]","[0.501002004008016, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[0.0001, 5.0]","[2.024048096192385, 5.0]","[0.0, 0.98989898989899]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,True,---,---,---
gga_c_zpbesol,True,---,---,---
gga_c_zvpbeint,True,---,---,---
gga_c_zvpbeloc,True,---,---,---
gga_c_zvpbesol,True,---,---,---
