,ec_non_positivity,ec_scaling_check,tc_non_negativity,tc_upper_bound,adiabatic_ec_concavity,lieb_oxford_bound_exc,lieb_oxford_bound_uxc,tc_ec_conjecture
0,True,True,True,True,True,True,True,False
1,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,False
3,True,True,True,True,True,True,True,True
4,True,True,True,True,True,True,True,True
5,True,True,True,True,True,True,True,True
6,True,True,True,True,True,True,True,True
7,True,True,True,True,True,True,True,True
8,True,True,True,True,True,True,True,True
9,True,True,True,True,True,True,True,False
10,True,True,True,True,True,True,True,False
11,True,True,True,True,True,True,True,False
12,True,True,True,True,True,True,True,False
13,True,True,True,True,True,True,True,False
14,True,True,True,True,True,True,True,False
15,True,True,True,True,True,True,True,False
16,True,True,True,True,True,True,True,False
17,True,True,True,True,True,True,True,False
18,True,True,True,True,True,True,True,False
19,True,True,True,True,True,True,True,False
20,True,True,True,True,True,True,True,False
21,True,True,True,True,True,True,True,False
22,True,True,True,True,True,True,True,False
23,True,True,True,True,True,True,True,False
24,True,True,True,True,True,True,True,False
25,True,True,True,True,True,True,True,False
26,True,True,True,True,True,True,True,False
27,True,True,True,True,True,True,True,False
28,True,True,True,True,True,True,True,False
29,True,True,True,True,True,True,True,False
30,True,True,True,True,True,True,True,False
31,True,True,True,True,True,True,True,False
32,True,True,True,True,True,True,True,False
33,True,True,True,True,True,True,True,False
34,True,True,True,True,True,True,True,False
