GGA corr.,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range ,Refs.
acgga,True,---,---,---,"\cite{Cancio2018_084116,Burke2014_4834}"
acggap,True,---,---,---,"\cite{Cancio2018_084116,Burke2014_4834}"
am05,True,---,---,---,"\cite{Armiento2005_085108,Mattsson2008_084714}"
apbe,True,---,---,---,\cite{Constantin2011_186406}
bmk,False,[1.0000e-04 4.9975e+00],[0. 5.],[0. 1.],\cite{Boese2004_3405}
ccdf,True,---,---,---,\cite{Margraf2019_244116}
chachiyo,True,---,---,---,\cite{Chachiyo2020_112669}
cs1,False,[1.0000e-04 4.9975e+00],[1.5932 5.    ],[0. 1.],"\cite{Handy2002_5411,Proynov2006_436}"
ft97,True,---,---,---,"\cite{Filatov1997_603,Filatov1997_847}"
gam,False,[1.0000e-04 4.9975e+00],[0.2505 5.    ],[0. 1.],\cite{Yu2015_12146}
gapc,False,[1.000e-04 4.928e-01],[0.6313 5.    ],[0. 1.],\cite{Fabiano2014_2016}
gaploc,False,[1.000e-04 1.652e-01],[0.4509 5.    ],[0.0101 1.    ],\cite{Fabiano2014_2016}
hcth\_a,False,[1.0000e-04 4.9975e+00],[2.1743 5.    ],[0.     0.9394],\cite{Hamprecht1998_6264}
hyb\_tau\_hcth,False,[1.0000e-04 4.9975e+00],[1.5731 5.    ],[0.     0.9596],\cite{Boese2002_9559}
lm,False,[1.7684 4.9975],[2.6353 5.    ],[0. 1.],"\cite{Langreth1981_446,Hu1985_391}"
lyp,False,[1.0000e-04 2.6414e+00],[1.5932 5.    ],[0.     0.9899],"\cite{Lee1988_785,Miehlich1989_200}"
lypr,False,[1.0000e-04 4.9975e+00],[0. 5.],[0.     0.9899],\cite{Ai2021_1207}
mggac,True,---,---,---,\cite{Patra2019_155140}
n12,True,---,---,---,\cite{Peverati2012_2310}
n12\_sx,False,[1.0000e-04 4.9975e+00],[0.9419 5.    ],[0. 1.],\cite{Peverati2012_16187}
op\_b88,False,[2.5013 4.9875],[0. 5.],[1. 1.],\cite{Tsuneda1999_10664}
op\_g96,False,[2.5013 4.9875],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pbe,False,[2.5013 4.9875],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pw91,False,[0.1327 4.9975],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
optc,True,---,---,---,\cite{Cohen2001_607}
op\_xalpha,False,[3.1241 4.9875],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
p86,False,[0.0426 4.9975],[0.6112 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86\_ft,False,[0.0426 4.9975],[0.6112 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86vwn,False,[0.0401 4.9975],[0.5912 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86vwn\_ft,False,[0.0401 4.9975],[0.5912 5.    ],[0. 1.],\cite{Perdew1986_8822}
pbe,True,---,---,---,"\cite{Perdew1996_3865,Perdew1996_3865_err}"
pbefe,True,---,---,---,\cite{Perez2015_3844}
pbeint,True,---,---,---,\cite{Fabiano2010_113104}
pbe\_jrgx,True,---,---,---,\cite{Pedroza2009_201106}
pbeloc,True,---,---,---,\cite{Constantin2012_035130}
