,ec_non_positivity,ec_scaling_check,tc_non_negativity,tc_upper_bound,adiabatic_ec_concavity,lieb_oxford_bound_exc,lieb_oxford_bound_uxc,tc_ec_conjecture
0,False,False,False,False,False,True,True,False
1,False,True,False,True,False,True,True,False
2,False,False,False,False,False,True,True,False
3,False,True,False,True,False,True,True,False
4,False,True,False,True,False,True,True,False
5,False,True,True,True,True,True,True,False
6,False,True,False,True,False,True,True,False
7,False,True,True,True,True,True,True,False
8,False,True,True,True,True,True,True,False
9,False,True,True,True,True,True,True,False
10,False,True,True,True,True,True,True,False
11,False,True,True,True,True,True,True,False
12,False,True,True,True,True,True,True,False
13,False,True,True,True,True,True,True,False
14,False,True,True,True,True,True,True,False
15,False,True,True,True,True,True,True,False
16,False,True,True,True,True,True,True,False
17,False,True,True,True,True,True,True,False
18,False,True,True,True,True,True,True,False
19,False,True,True,True,True,True,True,False
20,False,True,True,True,True,True,True,False
21,False,True,True,True,True,True,True,False
22,False,True,True,True,True,True,True,False
23,False,True,True,True,True,True,True,False
24,False,True,True,True,True,True,True,False
25,False,True,True,True,True,True,True,False
26,False,True,True,True,True,True,True,False
27,False,True,True,True,True,True,True,False
28,False,True,True,True,True,True,True,False
29,True,True,True,True,True,True,True,False
30,False,True,True,True,True,True,True,False
31,True,True,True,True,True,True,True,False
32,True,True,True,True,True,True,True,False
33,True,True,True,True,True,True,True,False
34,True,True,True,True,True,True,True,False
