xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,True,---,---,---
gga_c_am05,True,---,---,---
gga_c_apbe,True,---,---,---
gga_c_bmk,False,"[0.0001, 4.999499959995999]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,True,---,---,---
gga_c_cs1,False,"[0.0001, 3.9064125112511254]","[1.8036072144288577, 5.0]","[0.0, 1.0]"
gga_c_ft97,True,---,---,---
gga_c_gam,False,"[0.0001, 4.999499959995999]","[0.2605210420841683, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0001, 0.3356268426842684]","[0.9218436873747494, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.0021001600160016, 0.1661132813281328]","[0.4909819639278557, 5.0]","[0.010101010101010102, 1.0]"
gga_c_hcth_a,False,"[0.0001, 4.999499959995999]","[2.2344689378757514, 5.0]","[0.0, 0.9393939393939394]"
gga_c_hyb_tau_hcth,False,"[0.0001, 4.999499959995999]","[1.6132264529058116, 5.0]","[0.0, 0.9595959595959597]"
gga_c_lm,False,"[2.7388191019101913, 4.999499959995999]","[3.2364729458917836, 5.0]","[0.0, 1.0]"
gga_c_lyp,False,"[0.0001, 2.42479397939794]","[1.8036072144288577, 5.0]","[0.0, 0.9797979797979799]"
gga_c_lypr,False,"[0.0001, 1.1881950495049505]","[1.7735470941883766, 5.0]","[0.0, 0.9797979797979799]"
gga_c_mggac,True,---,---,---
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 4.999499959995999]","[0.9519038076152304, 5.0]","[0.0, 1.0]"
gga_c_op_b88,False,"[2.4987998999899994, 4.996999759975997]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_g96,False,"[2.4987998999899994, 4.996999759975997]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pbe,False,"[2.4987998999899994, 4.996999759975997]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pw91,False,"[0.12310984098409841, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_optc,True,---,---,---
gga_c_op_xalpha,False,"[2.6838147014701472, 4.996999759975997]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_p86,False,"[0.0666053205320532, 4.045923672367237]","[0.7715430861723447, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.06710536053605361, 4.044923592359236]","[0.7715430861723447, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.0636050805080508, 4.0379230323032305]","[0.751503006012024, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.06410512051205121, 4.03742299229923]","[0.751503006012024, 5.0]","[0.0, 1.0]"
gga_c_pbe,True,---,---,---
gga_c_pbefe,True,---,---,---
gga_c_pbeint,True,---,---,---
gga_c_pbe_jrgx,True,---,---,---
gga_c_pbeloc,True,---,---,---
gga_c_pbe_mol,True,---,---,---
gga_c_pbe_sol,True,---,---,---
gga_c_pbe_vwn,True,---,---,---
gga_c_pw91,True,---,---,---
gga_c_q2d,False,"[0.007100560056005601, 0.8721697669766977]","[0.6412825651302605, 5.0]","[0.0, 1.0]"
gga_c_regtpss,True,---,---,---
gga_c_revtca,True,---,---,---
gga_c_rge2,True,---,---,---
gga_c_scan_e0,True,---,---,---
gga_c_sg4,False,"[0.0011000800080008001, 3.215857265726573]","[0.9719438877755511, 5.0]","[0.010101010101010102, 0.787878787878788]"
gga_c_sogga11,False,"[0.0006000400040004001, 1.1821945694569458]","[0.0501002004008016, 0.9619238476953907]","[0.0, 1.0]"
gga_c_sogga11_x,False,"[0.0006000400040004001, 4.420453635363536]","[0.07014028056112225, 2.3547094188376754]","[0.0, 1.0]"
gga_c_spbe,True,---,---,---
gga_c_tau_hcth,False,"[0.0001, 4.999499959995999]","[1.6633266533066131, 5.0]","[0.0, 0.9595959595959597]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[0.0001, 2.102268176817682]","[1.6232464929859718, 5.0]","[0.0, 0.9797979797979799]"
gga_c_tm_pbe,True,---,---,---
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 0.045603640364036406]","[2.094188376753507, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 0.1586126812681268]","[0.5711422845691383, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[0.0001, 4.999499959995999]","[3.226452905811623, 5.0]","[0.0, 0.696969696969697]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,False,"[0.0031002400240024, 3.360868866886689]","[1.2124248496993988, 5.0]","[0.010101010101010102, 0.36363636363636365]"
gga_c_zpbesol,False,"[0.006100480048004801, 3.4018721472147218]","[1.3326653306613225, 5.0]","[0.010101010101010102, 0.25252525252525254]"
gga_c_zvpbeint,False,"[0.0001, 4.999499959995999]","[0.6813627254509018, 5.0]","[0.010101010101010102, 0.7777777777777778]"
gga_c_zvpbeloc,False,"[0.6756540454045404, 1.5082206520652066]","[0.0, 0.1402805611222445]","[0.5858585858585859, 0.8484848484848485]"
gga_c_zvpbesol,False,"[0.0001, 4.999499959995999]","[0.7014028056112224, 5.0]","[0.010101010101010102, 0.686868686868687]"
