xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range 
mgga_c_b88,True,---,---,---,---,---
mgga_c_b94,True,---,---,---,---,---
mgga_c_bc95,True,---,---,---,---,---
mgga_c_cs,False,"[0.0001, 5.0]","[1.2626262626262625, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_dldf,False,"[0.0001, 5.0]","[1.2121212121212122, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_hltapw,True,---,---,---,---,---
mgga_c_kcis,True,---,---,---,---,---
mgga_c_kcisk,True,---,---,---,---,---
mgga_c_m05_2x,False,"[0.0001, 5.0]","[0.9090909090909091, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05,False,"[0.0001, 5.0]","[0.6060606060606061, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_2x,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_hf,False,"[0.0001, 5.0]","[0.0, 4.545454545454545]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_sx,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m08_hx,False,"[0.0001, 5.0]","[0.050505050505050504, 2.0707070707070705]","[0.0, 1.0]","[0.0, 4.848484848484849]",---
mgga_c_m08_so,False,"[0.0001, 5.0]","[0.050505050505050504, 2.2727272727272725]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11,False,"[0.0001, 5.0]","[0.0, 2.474747474747475]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11_l,False,"[0.0001, 5.0]","[0.050505050505050504, 3.282828282828283]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_l,False,"[0.0001, 5.0]","[0.10101010101010101, 3.484848484848485]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_sx,False,"[0.0001, 5.0]","[0.0, 2.121212121212121]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15,False,"[0.0001, 5.0]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15_l,False,"[0.0001, 5.0]","[0.050505050505050504, 3.9393939393939394]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_pkzb,False,"[0.0001, 0.009101620324064811]","[0.6565656565656566, 4.797979797979798]","[0.9473684210526315, 0.9473684210526315]","[0.0, 1.9191919191919191]",---
mgga_c_r2scan,True,---,---,---,---,---
mgga_c_r2scanl,True,---,---,---,---,---
mgga_c_revm06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm11,False,"[0.0001, 5.0]","[0.0, 1.9696969696969697]","[0.0, 1.0]","[0.0, 1.9191919191919191]",---
mgga_c_revscan,False,"[0.0001, 5.0]","[2.121212121212121, 5.0]","[0.0, 0.9473684210526315]","[1.8686868686868687, 5.0]",---
mgga_c_revscan_vv10,False,"[0.0001, 5.0]","[2.121212121212121, 5.0]","[0.0, 0.9473684210526315]","[1.8686868686868687, 5.0]",---
mgga_c_revtm,True,---,---,---,---,---
mgga_c_revtpss,True,---,---,---,---,---
mgga_c_rscan,True,---,---,---,---,---
mgga_c_scan,True,---,---,---,---,---
mgga_c_scanl,True,---,---,---,---,---
mgga_c_scanl_rvv10,True,---,---,---,---,---
mgga_c_scanl_vv10,True,---,---,---,---,---
mgga_c_scan_rvv10,True,---,---,---,---,---
mgga_c_scan_vv10,True,---,---,---,---,---
mgga_c_tm,True,---,---,---,---,---
mgga_c_tpss,True,---,---,---,---,---
mgga_c_tpssloc,True,---,---,---,---,---
mgga_c_vsxc,False,"[0.0001, 5.0]","[0.8080808080808081, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
