xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range 
mgga_c_b88,True,---,---,---,---,---
mgga_c_b94,True,---,---,---,---,---
mgga_c_bc95,True,---,---,---,---,---
mgga_c_cs,False,"[0.1618173391130377, 5.0]","[0.0, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_dldf,False,"[0.0001, 5.0]","[1.2121212121212122, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_hltapw,True,---,---,---,---,---
mgga_c_kcis,True,---,---,---,---,---
mgga_c_kcisk,True,---,---,---,---,---
mgga_c_m05_2x,False,"[0.0001, 5.0]","[0.9090909090909091, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05,False,"[0.0001, 5.0]","[0.6060606060606061, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_2x,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_hf,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_sx,False,"[0.0001, 5.0]","[0.7070707070707071, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m08_hx,True,---,---,---,---,---
mgga_c_m08_so,True,---,---,---,---,---
mgga_c_m11,False,"[0.0001, 5.0]","[0.0, 1.6666666666666667]","[0.0, 1.0]","[0.0, 0.15151515151515152]",---
mgga_c_m11_l,False,"[0.0001, 3.068652350470094]","[1.1111111111111112, 2.929292929292929]","[0.0, 1.0]","[0.0, 1.7171717171717171]",---
mgga_c_mn12_l,False,"[0.0001, 5.0]","[1.4646464646464645, 3.2323232323232323]","[0.0, 1.0]","[0.0, 2.9797979797979797]",---
mgga_c_mn12_sx,False,"[0.0001, 5.0]","[0.0, 0.20202020202020202]","[0.0, 1.0]","[0.0, 0.050505050505050504]",---
mgga_c_mn15,False,"[0.0001, 5.0]","[1.6161616161616161, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15_l,False,"[0.0001, 0.7312316063212642]","[1.9191919191919191, 3.282828282828283]","[0.5789473684210527, 1.0]","[0.0, 1.0101010101010102]",---
mgga_c_pkzb,False,"[0.0001, 0.012102160432086416]","[0.6060606060606061, 3.282828282828283]","[1.0, 1.0]","[0.0, 0.0]",---
mgga_c_r2scan,True,---,---,---,---,---
mgga_c_r2scanl,True,---,---,---,---,---
mgga_c_revm06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm11,False,"[0.0001, 5.0]","[0.0, 0.40404040404040403]","[0.0, 1.0]","[0.0, 0.30303030303030304]",---
mgga_c_revscan,True,---,---,---,---,---
mgga_c_revscan_vv10,True,---,---,---,---,---
mgga_c_revtm,True,---,---,---,---,---
mgga_c_revtpss,True,---,---,---,---,---
mgga_c_rscan,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.050505050505050504, 5.0]",---
mgga_c_scan,True,---,---,---,---,---
mgga_c_scanl,True,---,---,---,---,---
mgga_c_scanl_rvv10,True,---,---,---,---,---
mgga_c_scanl_vv10,True,---,---,---,---,---
mgga_c_scan_rvv10,True,---,---,---,---,---
mgga_c_scan_vv10,True,---,---,---,---,---
mgga_c_tm,True,---,---,---,---,---
mgga_c_tpss,True,---,---,---,---,---
mgga_c_tpssloc,True,---,---,---,---,---
mgga_c_vsxc,False,"[0.0001, 5.0]","[0.8080808080808081, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
