xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,False,"[1.1236898889888989, 3.228358265826583]","[1.4328657314629258, 2.434869739478958]","[0.0, 0.9797979797979799]"
gga_c_am05,True,---,---,---
gga_c_apbe,False,"[0.0001, 0.39813184318431843]","[0.1503006012024048, 1.3126252505010019]","[0.0, 0.98989898989899]"
gga_c_bmk,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,False,"[0.0001, 2.9628370237023707]","[0.01002004008016032, 1.3226452905811623]","[0.0, 1.0]"
gga_c_cs1,False,"[0.0081006400640064, 5.0]","[1.593186372745491, 5.0]","[0.0, 1.0]"
gga_c_ft97,False,"[0.002600200020002, 0.12310984098409841]","[0.13026052104208416, 5.0]","[1.0, 1.0]"
gga_c_gam,False,"[0.0001, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0001, 0.6561524852485249]","[0.01002004008016032, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.0001, 2.1057684568456847]","[0.1002004008016032, 5.0]","[0.0, 1.0]"
gga_c_hcth_a,False,"[0.0001, 5.0]","[2.1543086172344688, 5.0]","[0.0, 0.9494949494949496]"
gga_c_hyb_tau_hcth,False,"[0.0001, 5.0]","[1.5531062124248496, 5.0]","[0.0, 0.9595959595959597]"
gga_c_lm,True,---,---,---
gga_c_lyp,False,"[0.6386510851085109, 5.0]","[1.4328657314629258, 5.0]","[0.0, 0.98989898989899]"
gga_c_lypr,False,"[0.4486358835883588, 4.490959275927593]","[1.3226452905811623, 5.0]","[0.0, 0.98989898989899]"
gga_c_mggac,False,"[0.0001, 0.39813184318431843]","[0.2004008016032064, 2.1442885771543083]","[0.0, 0.98989898989899]"
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 5.0]","[0.9318637274549098, 5.0]","[0.0, 1.0]"
gga_c_op_b88,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_g96,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pbe,False,"[0.2291183218321832, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pw91,False,"[0.012601000100010001, 4.998999919991999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_optc,False,"[0.0001, 0.015101200120012]","[0.01002004008016032, 0.2905811623246493]","[0.0, 0.98989898989899]"
gga_c_op_xalpha,False,"[0.2716217221722172, 4.999499959995999]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_p86,False,"[0.0016001200120012002, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.0016001200120012002, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.0016001200120012002, 5.0]","[0.04008016032064128, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.0016001200120012002, 5.0]","[0.04008016032064128, 5.0]","[0.0, 1.0]"
