GGA corr.,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range ,Refs.
acgga,True,---,---,---,"\cite{Cancio2018_084116,Burke2014_4834}"
acggap,False,[1.1237 3.2284],[1.4329 2.4349],[0.     0.9798],"\cite{Cancio2018_084116,Burke2014_4834}"
am05,True,---,---,---,"\cite{Armiento2005_085108,Mattsson2008_084714}"
apbe,False,[1.000e-04 3.981e-01],[0.1503 1.3126],[0.     0.9899],\cite{Constantin2011_186406}
bmk,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],\cite{Boese2004_3405}
ccdf,True,---,---,---,\cite{Margraf2019_244116}
chachiyo,False,[1.0000e-04 2.9628e+00],[0.01   1.3226],[0. 1.],\cite{Chachiyo2020_112669}
cs1,False,[0.0081 5.    ],[1.5932 5.    ],[0. 1.],"\cite{Handy2002_5411,Proynov2006_436}"
ft97,False,[0.0026 0.1231],[0.1303 5.    ],[1. 1.],"\cite{Filatov1997_603,Filatov1997_847}"
gam,False,[1.e-04 5.e+00],[0.2505 5.    ],[0. 1.],\cite{Yu2015_12146}
gapc,False,[1.000e-04 6.562e-01],[0.01 5.  ],[0. 1.],\cite{Fabiano2014_2016}
gaploc,False,[1.0000e-04 2.1058e+00],[0.1002 5.    ],[0. 1.],\cite{Fabiano2014_2016}
hcth\_a,False,[1.e-04 5.e+00],[2.1543 5.    ],[0.     0.9495],\cite{Hamprecht1998_6264}
hyb\_tau\_hcth,False,[1.e-04 5.e+00],[1.5531 5.    ],[0.     0.9596],\cite{Boese2002_9559}
lm,True,---,---,---,"\cite{Langreth1981_446,Hu1985_391}"
lyp,False,[0.6387 5.    ],[1.4329 5.    ],[0.     0.9899],"\cite{Lee1988_785,Miehlich1989_200}"
lypr,False,[0.4486 4.491 ],[1.3226 5.    ],[0.     0.9899],\cite{Ai2021_1207}
mggac,False,[1.000e-04 3.981e-01],[0.2004 2.1443],[0.     0.9899],\cite{Patra2019_155140}
n12,True,---,---,---,\cite{Peverati2012_2310}
n12\_sx,False,[1.e-04 5.e+00],[0.9319 5.    ],[0. 1.],\cite{Peverati2012_16187}
op\_b88,False,[0.2291 4.9995],[0. 5.],[1. 1.],\cite{Tsuneda1999_10664}
op\_g96,False,[0.2291 4.9995],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pbe,False,[0.2291 4.9995],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pw91,False,[0.0126 4.999 ],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
optc,False,[0.0001 0.0151],[0.01   0.2906],[0.     0.9899],\cite{Cohen2001_607}
op\_xalpha,False,[0.2716 4.9995],[0. 5.],[1. 1.],"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
p86,False,[1.6e-03 5.0e+00],[0. 5.],[0. 1.],\cite{Perdew1986_8822}
p86\_ft,False,[1.6e-03 5.0e+00],[0. 5.],[0. 1.],\cite{Perdew1986_8822}
p86vwn,False,[1.6e-03 5.0e+00],[0.0401 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86vwn\_ft,False,[1.6e-03 5.0e+00],[0.0401 5.    ],[0. 1.],\cite{Perdew1986_8822}
