xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range 
mgga_c_m06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_l,False,"[1.3643455691138227, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15_l,False,"[1.108299479895979, 5.0]","[0.0, 0.10101010101010101]","[0.0, 1.0]","[0.0, 0.0]",---
mgga_c_pkzb,True,---,---,---,---,---
mgga_c_r2scan,True,---,---,---,---,---
mgga_c_r2scanl,True,---,---,---,---,---
mgga_c_revm06_l,False,"[0.0001, 5.0]","[0.0, 0.050505050505050504]","[0.6842105263157894, 1.0]","[0.0, 0.0]",---
mgga_c_revscan,True,---,---,---,---,---
mgga_c_revtm,True,---,---,---,---,---
mgga_c_revtpss,True,---,---,---,---,---
mgga_c_rscan,True,---,---,---,---,---
mgga_c_scan,True,---,---,---,---,---
mgga_c_scanl,True,---,---,---,---,---
mgga_c_tm,True,---,---,---,---,---
mgga_c_tpss,True,---,---,---,---,---
