MGGA XC,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range ,Refs.
m06\_l,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],[0. 5.],---,"\cite{Zhao2006_194101,Zhao2008_215}"
m11\_l,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],[0. 5.],---,\cite{Peverati2012_117}
mn12\_l,False,[1.3643 5.    ],[0. 5.],[0. 1.],[0. 5.],---,\cite{Peverati2012_13171}
mn15\_l,False,[1.1083 5.    ],[0.    0.101],[0. 1.],[0. 0.],---,\cite{Yu2016_1280}
pkzb,True,---,---,---,---,---,\cite{Perdew1999_2544}
r2scan,True,---,---,---,---,---,"\cite{Furness2020_8208,Furness2020_9248}"
r2scanl,True,---,---,---,---,---,"\cite{Mejia2020_121109,Furness2020_8208,Furness2020_9248}"
revm06\_l,False,[1.e-04 5.e+00],[0.     0.0505],[0.6842 1.    ],[0. 0.],---,\cite{Wang2017_8487}
revscan,True,---,---,---,---,---,\cite{Mezei2018_2469}
revtm,True,---,---,---,---,---,\cite{Jana2019_6356}
revtpss,True,---,---,---,---,---,"\cite{Perdew2009_026403,Perdew2009_026403_err}"
rscan,True,---,---,---,---,---,\cite{Bartok2019_161101}
scan,True,---,---,---,---,---,\cite{Sun2015_036402}
scanl,True,---,---,---,---,---,"\cite{Mejia2017_052512,Mejia2018_115161,Sun2015_036402}"
tm,True,---,---,---,---,---,\cite{Tao2016_073001}
tpss,True,---,---,---,---,---,"\cite{Tao2003_146401,Perdew2004_6898}"
