xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_am05,True,---,---,---
gga_c_apbe,True,---,---,---
gga_c_chachiyo,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_gam,False,"[0.37412992299229925, 5.0]","[2.755511022044088, 5.0]","[0.0, 1.0]"
gga_c_hcth_a,True,---,---,---
gga_c_n12,False,"[0.0001, 1.9102528152815281]","[1.7735470941883766, 5.0]","[0.0, 1.0]"
gga_c_pbe,True,---,---,---
gga_c_pbefe,True,---,---,---
gga_c_pbeint,True,---,---,---
gga_c_pbe_mol,True,---,---,---
gga_c_pbe_sol,True,---,---,---
gga_c_pw91,True,---,---,---
gga_c_q2d,True,---,---,---
gga_c_rge2,True,---,---,---
gga_c_sg4,False,"[1.0761860886088608, 5.0]","[4.148296593186372, 5.0]","[0.8383838383838385, 1.0]"
gga_c_sogga11,False,"[3.176854145414542, 5.0]","[4.98997995991984, 5.0]","[0.0, 0.15151515151515152]"
gga_c_xpbe,True,---,---,---
