GGA corr.,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range ,Refs.
acgga,True,---,---,---,"\cite{Cancio2018_084116,Burke2014_4834}"
acggap,True,---,---,---,"\cite{Cancio2018_084116,Burke2014_4834}"
am05,True,---,---,---,"\cite{Armiento2005_085108,Mattsson2008_084714}"
apbe,True,---,---,---,\cite{Constantin2011_186406}
bmk,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],\cite{Boese2004_3405}
ccdf,True,---,---,---,\cite{Margraf2019_244116}
chachiyo,True,---,---,---,\cite{Chachiyo2020_112669}
cs1,False,[1.e-04 5.e+00],[1.5331 5.    ],[0. 1.],"\cite{Handy2002_5411,Proynov2006_436}"
ft97,True,---,---,---,"\cite{Filatov1997_603,Filatov1997_847}"
gam,False,[1.e-04 5.e+00],[0.2505 5.    ],[0. 1.],\cite{Yu2015_12146}
gapc,False,[1.000e-04 1.686e-01],[0.6914 5.    ],[0. 1.],\cite{Fabiano2014_2016}
gaploc,False,[0.0026 0.1701],[0.4509 5.    ],[0.0202 1.    ],\cite{Fabiano2014_2016}
hcth\_a,False,[1.e-04 5.e+00],[2.1443 5.    ],[0.     0.9495],\cite{Hamprecht1998_6264}
hyb\_tau\_hcth,False,[1.e-04 5.e+00],[1.5431 5.    ],[0.     0.9596],\cite{Boese2002_9559}
lm,True,---,---,---,"\cite{Langreth1981_446,Hu1985_391}"
lyp,False,[1.e-04 5.e+00],[1.7435 5.    ],[0.     0.9899],"\cite{Lee1988_785,Miehlich1989_200}"
lypr,False,[1.0000e-04 3.3839e+00],[1.7535 5.    ],[0.     0.9899],\cite{Ai2021_1207}
mggac,True,---,---,---,\cite{Patra2019_155140}
n12,True,---,---,---,\cite{Peverati2012_2310}
n12\_sx,False,[1.e-04 5.e+00],[0.9319 5.    ],[0. 1.],\cite{Peverati2012_16187}
op\_b88,True,---,---,---,\cite{Tsuneda1999_10664}
op\_g96,True,---,---,---,"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pbe,True,---,---,---,"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
op\_pw91,True,---,---,---,"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
optc,False,[0.0001 0.0006],[0.0401 0.2705],[0.     0.9899],\cite{Cohen2001_607}
op\_xalpha,True,---,---,---,"\cite{Tsuneda1999_10664,Tsuneda1999_5656}"
p86,False,[0.2331 5.    ],[0.8918 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86\_ft,False,[0.2336 5.    ],[0.8918 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86vwn,False,[0.2246 5.    ],[0.8818 5.    ],[0. 1.],\cite{Perdew1986_8822}
p86vwn\_ft,False,[0.2251 5.    ],[0.8818 5.    ],[0. 1.],\cite{Perdew1986_8822}
pbe,True,---,---,---,"\cite{Perdew1996_3865,Perdew1996_3865_err}"
pbefe,True,---,---,---,\cite{Perez2015_3844}
pbeint,True,---,---,---,\cite{Fabiano2010_113104}
pbe\_jrgx,True,---,---,---,\cite{Pedroza2009_201106}
pbeloc,True,---,---,---,\cite{Constantin2012_035130}
pbe\_mol,True,---,---,---,\cite{delCampo2012_104108}
pbe\_sol,True,---,---,---,\cite{Perdew2008_136406}
pbe\_vwn,True,---,---,---,"\cite{Kraisler2010_042516,Perdew1996_3865,Perdew1996_3865_err}"
pw91,False,[0.0001 0.0006],[0.0401 0.2806],[0. 1.],"\cite{Perdew1991,Perdew1992_6671,Perdew1992_6671_err}"
q2d,True,---,---,---,\cite{Chiodo2012_126402}
regtpss,True,---,---,---,\cite{Perdew2009_026403}
revtca,True,---,---,---,\cite{Tognetti2008_536}
rge2,True,---,---,---,\cite{Ruzsinszky2009_763}
scan\_e0,True,---,---,---,\cite{Sun2015_036402}
sg4,True,---,---,---,\cite{Constantin2016_045126}
sogga11,True,---,---,---,\cite{Peverati2011_1991}
sogga11\_x,True,---,---,---,\cite{Peverati2011_191102}
spbe,True,---,---,---,\cite{Swart2009_094103}
tau\_hcth,False,[1.e-04 5.e+00],[1.6132 5.    ],[0.     0.9596],\cite{Boese2002_9559}
tca,True,---,---,---,\cite{Tognetti2008_034101}
tm\_lyp,False,[1.e-04 5.e+00],[1.5832 5.    ],[0.     0.9899],\cite{Thakkar2009_134109}
tm\_pbe,True,---,---,---,\cite{Thakkar2009_134109}
w94,True,---,---,---,\cite{Wilson1994_337}
wi0,False,[1.e-04 5.e+00],[1.9339 5.    ],[0. 1.],\cite{Wilson1998_523}
wi,False,[1.e-04 5.e+00],[0.501 5.   ],[0. 1.],\cite{Wilson1998_523}
wl,False,[1.e-04 5.e+00],[2.024 5.   ],[0.     0.9899],\cite{Wilson1990_12930}
xpbe,True,---,---,---,\cite{Xu2004_4068}
zpbeint,True,---,---,---,\cite{Constantin2011_233103}
zpbesol,True,---,---,---,\cite{Constantin2011_233103}
zvpbeint,True,---,---,---,\cite{Constantin2012_194105}
zvpbeloc,True,---,---,---,\cite{Fabiano2015_122}
zvpbesol,True,---,---,---,\cite{Constantin2012_194105}
