xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,False,"[0.0001, 3.228681156231246]","[1.002004008016032, 2.434869739478958]","[0.0, 0.98989898989899]"
gga_c_am05,True,---,---,---
gga_c_apbe,False,"[0.0001, 0.39817165433086615]","[0.03006012024048096, 1.3126252505010019]","[0.0, 0.98989898989899]"
gga_c_bmk,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,False,"[0.0001, 2.962633266653331]","[0.01002004008016032, 1.3226452905811623]","[0.0, 1.0]"
gga_c_cs1,False,"[0.00810144028805761, 5.0]","[1.593186372745491, 5.0]","[0.0, 1.0]"
gga_c_ft97,False,"[0.0001, 0.12312214442888578]","[0.03006012024048096, 5.0]","[1.0, 1.0]"
gga_c_gam,False,"[0.0001, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0001, 0.6562181036207241]","[0.01002004008016032, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.0001, 2.105478975795159]","[0.1002004008016032, 5.0]","[0.0, 1.0]"
gga_c_hcth_a,False,"[0.0001, 5.0]","[2.1342685370741483, 5.0]","[0.0, 0.9494949494949496]"
gga_c_hyb_tau_hcth,False,"[0.0001, 5.0]","[1.533066132264529, 5.0]","[0.0, 0.9595959595959597]"
gga_c_lm,True,---,---,---
gga_c_lyp,False,"[0.6392150430086017, 5.0]","[1.4328657314629258, 5.0]","[0.0, 0.98989898989899]"
gga_c_lypr,False,"[0.4491808361672334, 4.490908361672334]","[1.3226452905811623, 5.0]","[0.0, 0.98989898989899]"
gga_c_mggac,False,"[0.0001, 0.39817165433086615]","[0.0501002004008016, 2.1442885771543083]","[0.0, 0.98989898989899]"
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 5.0]","[0.9318637274549098, 5.0]","[0.0, 1.0]"
gga_c_op_b88,False,"[0.49418893778755746, 5.0]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_g96,False,"[0.49418893778755746, 5.0]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pbe,False,"[0.49418893778755746, 5.0]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pw91,False,"[0.025104500900180033, 4.996999459891978]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_optc,False,"[0.0001, 0.015102700540108021]","[0.01002004008016032, 0.3306613226452906]","[0.0, 0.98989898989899]"
gga_c_op_xalpha,False,"[0.5391970394078816, 5.0]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_p86,False,"[0.0021003600720144026, 5.0]","[0.0501002004008016, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.0021003600720144026, 5.0]","[0.0501002004008016, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.0021003600720144026, 5.0]","[0.0501002004008016, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.0021003600720144026, 5.0]","[0.0501002004008016, 5.0]","[0.0, 1.0]"
