xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_acgga,True,---,---,---
gga_c_acggap,True,---,---,---
gga_c_am05,True,---,---,---
gga_c_apbe,True,---,---,---
gga_c_bmk,False,"[0.0001, 4.9974987993996995]","[0.0, 5.0]","[0.0, 1.0]"
gga_c_ccdf,True,---,---,---
gga_c_chachiyo,True,---,---,---
gga_c_cs1,False,"[0.0001, 4.9974987993996995]","[1.593186372745491, 5.0]","[0.0, 1.0]"
gga_c_ft97,True,---,---,---
gga_c_gam,False,"[0.0001, 4.9974987993996995]","[0.250501002004008, 5.0]","[0.0, 1.0]"
gga_c_gapc,False,"[0.0001, 0.49283651825912955]","[0.6312625250501002, 5.0]","[0.0, 1.0]"
gga_c_gaploc,False,"[0.0001, 0.1651792396198099]","[0.45090180360721444, 5.0]","[0.010101010101010102, 1.0]"
gga_c_hcth_a,False,"[0.0001, 4.9974987993996995]","[2.1743486973947896, 5.0]","[0.0, 0.9393939393939394]"
gga_c_hyb_tau_hcth,False,"[0.0001, 4.9974987993996995]","[1.5731462925851702, 5.0]","[0.0, 0.9595959595959597]"
gga_c_lm,False,"[1.768448824412206, 4.9974987993996995]","[2.635270541082164, 5.0]","[0.0, 1.0]"
gga_c_lyp,False,"[0.0001, 2.641367833916959]","[1.593186372745491, 5.0]","[0.0, 0.98989898989899]"
gga_c_lypr,False,"[0.0001, 4.9974987993996995]","[0.0, 5.0]","[0.0, 0.98989898989899]"
gga_c_mggac,True,---,---,---
gga_c_n12,True,---,---,---
gga_c_n12_sx,False,"[0.0001, 4.9974987993996995]","[0.9418837675350701, 5.0]","[0.0, 1.0]"
gga_c_op_b88,False,"[2.5013006003001506, 4.9874939969984995]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_g96,False,"[2.5013006003001506, 4.9874939969984995]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pbe,False,"[2.5013006003001506, 4.9874939969984995]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_op_pw91,False,"[0.13266363181590796, 4.9974987993996995]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_optc,True,---,---,---
gga_c_op_xalpha,False,"[3.1240995497748876, 4.9874939969984995]","[0.0, 5.0]","[1.0, 1.0]"
gga_c_p86,False,"[0.04262041020510256, 4.9974987993996995]","[0.6112224448897795, 5.0]","[0.0, 1.0]"
gga_c_p86_ft,False,"[0.04262041020510256, 4.9974987993996995]","[0.6112224448897795, 5.0]","[0.0, 1.0]"
gga_c_p86vwn,False,"[0.040119209604802405, 4.9974987993996995]","[0.5911823647294588, 5.0]","[0.0, 1.0]"
gga_c_p86vwn_ft,False,"[0.040119209604802405, 4.9974987993996995]","[0.5911823647294588, 5.0]","[0.0, 1.0]"
gga_c_pbe,True,---,---,---
gga_c_pbefe,True,---,---,---
gga_c_pbeint,True,---,---,---
gga_c_pbe_jrgx,True,---,---,---
gga_c_pbeloc,True,---,---,---
gga_c_pbe_mol,True,---,---,---
gga_c_pbe_sol,True,---,---,---
gga_c_pbe_vwn,True,---,---,---
gga_c_pw91,True,---,---,---
gga_c_q2d,False,"[0.007603601800900451, 1.4082759379689844]","[0.6212424849699398, 5.0]","[0.0, 1.0]"
gga_c_regtpss,True,---,---,---
gga_c_revtca,False,"[0.0151072036018009, 1.5258323661830915]","[0.01002004008016032, 0.9418837675350701]","[0.9696969696969697, 1.0]"
gga_c_rge2,True,---,---,---
gga_c_scan_e0,True,---,---,---
gga_c_sg4,False,"[0.00260120060030015, 4.9974987993996995]","[0.781563126252505, 5.0]","[0.010101010101010102, 1.0]"
gga_c_sogga11,False,"[0.00260120060030015, 4.9974987993996995]","[0.08016032064128256, 1.5130260521042083]","[0.0, 1.0]"
gga_c_sogga11_x,False,"[0.00260120060030015, 4.9974987993996995]","[0.13026052104208416, 2.715430861723447]","[0.0, 1.0]"
gga_c_spbe,True,---,---,---
gga_c_tau_hcth,False,"[0.0001, 4.9974987993996995]","[1.6332665330661322, 5.0]","[0.0, 0.9595959595959597]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[0.0001, 2.2236673336668336]","[1.4729458917835672, 5.0]","[0.0, 0.98989898989899]"
gga_c_tm_pbe,True,---,---,---
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 0.15267323661830914]","[1.9639278557114228, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 0.4678245122561281]","[0.5110220440881763, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[0.0001, 4.9974987993996995]","[2.19438877755511, 5.0]","[0.0, 0.9696969696969697]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,False,"[0.00260120060030015, 4.9974987993996995]","[1.0721442885771542, 5.0]","[0.010101010101010102, 1.0]"
gga_c_zpbesol,False,"[0.005102401200600301, 4.9974987993996995]","[1.1623246492985972, 5.0]","[0.010101010101010102, 0.9191919191919192]"
gga_c_zvpbeint,False,"[0.0001, 4.9974987993996995]","[0.6813627254509018, 5.0]","[0.010101010101010102, 1.0]"
gga_c_zvpbeloc,False,"[0.27773326663331666, 4.9974987993996995]","[0.0, 1.032064128256513]","[0.20202020202020204, 1.0]"
gga_c_zvpbesol,False,"[0.0001, 4.9974987993996995]","[0.721442885771543, 5.0]","[0.010101010101010102, 1.0]"
